date,maximum_2m_air_temperature,mean_2m_air_temperature,mean_sea_level_pressure,minimum_2m_air_temperature,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m
2019-02-10,299.56634521484375,294.3578796386719,101435.7109375,289.7496337890625,0.0015836581587791443,0.026121219620108604,-2.0059449672698975
2019-02-11,297.8462219238281,292.6852111816406,101298.8515625,289.07696533203125,0.02100091427564621,0.39278721809387207,-1.0374908447265625
2019-02-12,296.07769775390625,291.9842529296875,101316.8984375,288.7008361816406,0.008971253409981728,-0.00375732290558517,-0.8970725536346436
2019-02-13,295.635009765625,292.494140625,101593.5078125,289.794677734375,0.015023982152342796,-1.3886958360671997,-1.8140579462051392
2019-02-14,292.3989562988281,290.99017333984375,101900.5703125,289.5724182128906,0.053084321320056915,-3.5200355052948,-1.0052850246429443
2019-02-15,295.2775573730469,292.0133361816406,101596.8046875,289.3845520019531,0.0063370224088430405,-1.3928102254867554,-2.5221831798553467
2019-02-16,297.461181640625,293.1994934082031,101318.8125,289.3796081542969,0.00888034887611866,0.4974755346775055,1.259433627128601
2019-02-17,298.4345397949219,292.9324035644531,101519.1484375,287.75250244140625,0.0,-2.4342830181121826,1.8278242349624634
2019-02-18,298.28759765625,292.2024841308594,101663.0703125,285.9700012207031,0.0,-1.6138712167739868,0.3663521111011505
2019-02-19,299.5078430175781,292.7509765625,101606.2265625,285.9940185546875,1.0525807738304138e-05,-0.17055760324001312,-1.272626280784607
2019-02-20,300.71392822265625,293.5977783203125,101538.2734375,286.98309326171875,0.0002944599837064743,1.939203143119812,-1.2949535846710205
2019-02-21,302.94342041015625,295.4827575683594,101617.8203125,288.9046325683594,0.00016737356781959534,1.0791157484054565,-0.10786963254213333
2019-02-22,300.0806579589844,294.0147705078125,101815.7734375,287.9798278808594,0.008665149100124836,-0.16369779407978058,-2.784804105758667
2019-02-23,299.83441162109375,294.0439453125,101312.2890625,288.64605712890625,0.00011255592107772827,2.297748327255249,-2.1775124073028564
2019-02-24,302.14190673828125,294.92010498046875,101069.4453125,287.2853088378906,0.0,-0.5929243564605713,0.9520371556282043
2019-02-25,299.9263000488281,292.7084655761719,101369.8828125,286.38104248046875,0.004990465939044952,-0.9337659478187561,-1.4051762819290161
