date,no2,tropospheric_no2,o3
2021-04-27,9.337265267277002e-05,4.685365617300175e-05,0.11031029382288414
2021-04-28,0.00013729756448686346,9.283501088887939e-05,0.11409439564070162
2021-04-29,9.21056809269096e-05,5.2097245403182495e-05,0.11687984089591262
2021-04-30,0.0001271142330689484,7.827444984919488e-05,0.11401828739389291
2021-05-01,0.00043183116641482716,0.000244447011344896,0.11298364613156324
2021-05-02,0.00021026953591515455,0.00016965545425247502,0.11039728394444036
2021-05-03,0.0001889567850056607,0.00014816225960064683,0.11225265750431919
2021-05-04,9.515311015699335e-05,5.387879060309567e-05,0.11557140961437054
2021-05-05,8.654154374317032e-05,4.68695541359259e-05,0.1151726610244883
2021-05-06,0.0002736362612077147,0.00024783516061220123,0.11666229752373934
2021-05-07,0.00017494340517222872,,0.11591545715733366
2021-05-08,7.202307702460441e-05,3.454066043520549e-05,0.11717554994121489
2021-05-09,0.0001154194980690782,7.552296768596327e-05,0.11684758508324264
2021-05-10,0.00016537941057829595,0.00012477618371592518,0.11739318766692212
2021-05-11,0.00015646035223535875,0.00011867699125077786,0.11826799347648405
2021-05-12,9.647533580565973e-05,6.200469521846614e-05,0.11995448832983137
2021-05-13,0.00044413720531896397,0.00041153065418603874,0.11605593124586029
2021-05-14,0.00013476507818613125,0.00010041458972805902,0.11733026990255802
2021-05-15,7.321972499803358e-05,3.8664263978985936e-05,0.11777211307033017
2021-05-16,6.837239317620457e-05,3.490361839533812e-05,0.11903695211052309
2021-05-17,8.537326260959788e-05,5.1581444739578565e-05,0.11570468929409822
2021-05-18,0.0002025536913115362,0.0001678645851540765,0.11314290254282901
2021-05-19,0.0001389317049569511,0.00010230406527485836,0.1113788678130074
2021-05-20,0.00011748996708209974,8.024247673364466e-05,0.1076775514529172
2021-05-21,7.51785133304433e-05,3.310585786784938e-05,0.11146675464286304
2021-05-22,0.00028319823772419403,0.0002412340330397939,0.11376937271860818
2021-05-23,9.271866788953381e-05,5.552804029144138e-05,0.11664969955545118
2021-05-24,0.0001228869740398913,9.053554800816149e-05,0.1186328608200057
2021-05-25,0.0001670883783453699,0.00013942448268584984,0.11562272364007525
2021-05-26,0.00025162657679826287,0.00021767263403093287,0.11666818879738189
2021-05-27,0.0005114142647714277,0.0004741582835828121,0.111658778061829
2021-05-28,9.23865550879802e-05,5.534404766679443e-05,0.10976953804258371
2021-05-29,8.153540594519224e-05,4.288822413975459e-05,0.10790941606658573
2021-05-30,0.00014565218454163216,0.00010721572959638974,0.11140959622638495
2021-05-31,6.955328974878604e-05,3.0623202353873154e-05,0.12361826603742107
2021-06-01,6.473211440576873e-05,2.6782747572964574e-05,0.1351144794136014
2021-06-02,0.00010307148420930326,6.733216251875943e-05,0.1335716167018464
2021-06-03,9.629775430239571e-05,5.816646959938076e-05,0.12905350181088332
2021-06-04,0.000334491793929285,0.000294836744293914,0.12701202467260791
2021-06-05,0.00012973095714715414,9.016711438731702e-05,0.12534462616168293
2021-06-06,0.00012638451841613362,8.949398851614095e-05,0.1265281917460437
2021-06-07,0.00010863991555406883,7.190742418239915e-05,0.12303148259596308
